athlete_id,age,sex,weight_kg,vo2_max,resting_hr,baseline_hrv,session_type,duration_min,avg_hr,max_hr,distance_km,elevation_gain_m,sleep_hrs_prior,hrv_today,temp_c,percent_hr_max,pace_min_per_km,hr_efficiency,vo2_hr_ratio,depletion_factor,sleep_debt,calories_burned
A0025,28,M,59.1,58.5,58,76,tempo,86,148,153,16.5,186,8.2,54.5,32,0.967,5.21,8.97,0.395,12962.1,-0.2,1178.1
A0026,42,F,65.7,52.0,46,63,tempo,67,136,153,7.0,25,6.1,67.7,29,0.889,9.57,19.43,0.382,9130.7,1.9,827.5
A0027,41,M,79.6,55.1,45,91,long_run,59,137,146,11.7,193,4.6,80.0,13,0.938,5.04,11.71,0.402,8480.4,3.4,815.1
A0028,35,M,58.9,60.7,52,74,intervals,110,147,157,18.8,45,7.1,83.2,33,0.936,5.85,7.82,0.413,16614.5,0.9,1467.3
A0029,35,F,71.3,44.8,57,68,intervals,92,163,168,16.1,164,6.8,58.9,16,0.97,5.71,10.12,0.275,15323.6,1.2,1520.2
A0030,34,M,87.7,57.0,50,91,long_run,74,179,186,13.0,117,8.1,65.4,33,0.962,5.69,13.77,0.318,13157.2,-0.1,1390.2
A0031,41,F,79.6,51.9,64,82,intervals,51,133,139,8.0,98,7.7,62.4,11,0.957,6.38,16.62,0.39,7075.0,0.3,664.2
A0032,25,M,72.3,45.2,62,88,intervals,41,168,187,6.0,61,7.4,83.4,24,0.898,6.83,28.0,0.269,7156.0,0.6,686.8
A0033,36,M,86.3,48.6,57,70,long_run,39,177,192,6.6,54,5.6,72.5,32,0.922,5.91,26.82,0.275,7026.7,2.4,736.2
A0034,20,M,78.1,46.7,62,99,tempo,89,139,153,14.2,20,6.3,85.1,18,0.908,6.27,9.79,0.336,11830.4,1.7,1146.6
A0035,26,M,61.5,55.1,64,92,intervals,97,174,190,10.9,169,7.2,91.7,14,0.916,8.9,15.96,0.317,16974.1,0.8,1607.2
A0036,33,M,66.7,43.9,47,88,long_run,71,146,161,8.3,64,5.8,72.3,14,0.907,8.55,17.59,0.301,9879.1,2.2,992.2
A0037,36,M,76.0,52.7,59,67,tempo,42,177,184,6.0,117,7.5,68.1,33,0.962,7.0,29.5,0.298,7603.8,0.5,752.8
A0038,32,M,83.5,62.4,48,69,intervals,57,135,150,10.4,175,6.8,61.1,24,0.9,5.48,12.98,0.462,7651.1,1.2,731.0
A0039,35,F,87.6,40.1,62,62,long_run,115,148,155,18.2,9,8.1,43.5,28,0.955,6.32,8.13,0.271,16208.9,-0.1,1695.3
A0040,43,M,86.9,60.9,57,94,intervals,97,162,179,12.3,181,8.7,82.8,15,0.905,7.89,13.17,0.376,15632.9,-0.7,1652.4
A0041,44,F,58.4,58.5,60,62,intervals,71,153,168,8.2,275,6.0,46.9,21,0.911,8.66,18.66,0.382,10683.5,2.0,1071.2
A0042,22,M,79.6,51.3,62,90,intervals,89,175,184,10.7,231,5.6,75.3,24,0.951,8.32,16.36,0.293,16053.5,2.4,1648.9
A0043,25,M,89.6,45.1,64,82,intervals,44,132,146,7.2,127,5.8,67.7,23,0.904,6.11,18.33,0.342,5645.2,2.2,546.2
A0044,26,M,62.9,40.1,53,63,long_run,77,146,165,15.4,37,7.7,46.6,19,0.885,5.0,9.48,0.275,11625.3,0.3,1022.3
A0045,23,F,71.4,54.9,62,72,long_run,75,147,152,11.7,68,4.6,67.9,21,0.967,6.41,12.56,0.373,10582.3,3.4,988.6
A0046,40,M,66.9,39.7,46,71,long_run,51,146,157,6.9,127,6.1,72.3,34,0.93,7.39,21.16,0.272,7747.0,1.9,718.9
A0047,30,F,82.5,63.6,57,86,tempo,81,147,162,15.3,4,6.6,63.1,25,0.907,5.29,9.61,0.433,12210.7,1.4,1129.5
A0048,33,F,83.3,56.8,60,92,long_run,72,156,173,8.2,228,7.7,71.6,15,0.902,8.78,19.02,0.364,11019.3,0.3,1140.6
A0049,23,F,74.0,60.8,47,85,long_run,77,172,187,13.5,128,7.4,92.3,25,0.92,5.7,12.74,0.353,13324.5,0.6,1302.8
A0050,42,M,65.3,57.0,53,81,long_run,37,178,192,5.6,210,6.4,63.8,28,0.927,6.61,31.79,0.32,6785.3,1.6,717.1
A0051,40,F,76.5,50.0,51,99,intervals,71,176,188,13.3,7,5.6,100.3,23,0.936,5.34,13.23,0.284,13024.1,2.4,1284.7
A0052,36,M,65.5,53.6,45,66,long_run,119,136,144,22.4,66,6.6,62.5,30,0.944,5.31,6.07,0.394,16313.5,1.4,1482.0
A0053,44,M,77.2,45.7,61,63,intervals,117,152,159,19.7,90,7.0,52.6,19,0.956,5.94,7.72,0.301,16917.2,1.0,1744.8
A0054,36,M,56.9,54.1,56,84,long_run,83,149,154,8.8,134,8.5,83.0,11,0.968,9.43,16.93,0.363,12075.6,-0.5,1143.4
A0055,32,M,87.4,52.8,61,72,tempo,59,154,163,11.8,212,4.8,59.3,16,0.945,5.0,13.05,0.343,8953.6,3.2,944.2
A0056,41,M,64.2,53.6,64,65,intervals,63,143,154,12.4,12,7.2,62.0,27,0.929,5.08,11.53,0.375,8849.7,0.8,830.2
A0057,23,F,76.9,42.0,54,84,tempo,60,150,165,10.0,30,7.6,59.5,10,0.909,6.0,15.0,0.28,8951.9,0.4,849.1
A0058,36,M,80.0,57.5,49,82,intervals,45,151,160,7.6,229,8.2,93.5,28,0.944,5.92,19.87,0.381,6508.1,-0.2,672.6
A0059,34,M,65.2,54.6,57,94,long_run,83,152,171,8.3,198,6.1,87.0,33,0.889,10.0,18.31,0.359,12881.5,1.9,1162.8
A0060,24,M,72.3,49.5,51,80,tempo,69,166,181,12.0,239,8.7,69.6,15,0.917,5.75,13.83,0.298,11086.8,-0.7,1081.5
A0061,20,F,75.6,39.7,55,72,tempo,77,147,166,14.0,83,7.4,59.3,31,0.886,5.5,10.5,0.27,11200.7,0.6,1025.1
A0062,31,M,87.9,56.1,57,71,tempo,73,157,163,14.5,56,4.9,79.5,22,0.963,5.03,10.83,0.357,11148.6,3.1,1148.5
A0063,20,M,76.1,56.1,53,98,tempo,77,132,149,9.1,219,6.0,73.3,32,0.886,8.46,14.51,0.425,10079.0,2.0,867.0
A0064,31,F,58.4,57.0,62,89,tempo,95,134,151,15.6,93,7.6,85.8,24,0.887,6.09,8.59,0.425,13161.2,0.4,1082.9
A0065,31,M,78.1,57.2,45,85,tempo,119,165,177,17.7,270,8.4,65.5,10,0.932,6.72,9.32,0.347,18754.0,-0.4,1989.0
A0066,41,F,80.1,58.1,54,94,long_run,87,150,160,11.6,170,5.2,83.6,33,0.938,7.5,12.93,0.387,13064.0,2.8,1319.2
A0067,43,F,78.1,50.0,50,77,tempo,110,167,184,12.7,285,4.8,55.8,20,0.908,8.66,13.15,0.299,18183.5,3.2,1863.5
A0068,26,F,61.0,39.2,53,64,intervals,108,179,187,16.1,121,7.8,65.0,33,0.957,6.71,11.12,0.219,19146.8,0.2,1931.4
A0069,20,F,85.1,56.6,50,85,long_run,53,168,184,7.6,114,7.8,74.3,12,0.913,6.97,22.11,0.337,9173.8,0.2,903.5
A0070,36,M,89.8,63.8,49,61,long_run,108,131,146,20.7,66,8.7,43.2,28,0.897,5.22,6.33,0.487,14576.8,-0.7,1399.1
A0071,43,M,78.4,40.5,50,61,long_run,50,164,169,9.9,220,6.9,56.7,21,0.97,5.05,16.57,0.247,7994.4,1.1,844.1
A0072,40,F,74.7,63.5,51,62,intervals,95,135,144,13.3,35,6.1,60.1,26,0.938,7.14,10.15,0.47,13138.7,1.9,1148.8
A0073,20,F,68.7,53.6,50,78,intervals,106,155,165,14.8,129,6.8,75.2,29,0.939,7.16,10.47,0.346,16148.9,1.2,1531.1
A0074,36,F,66.0,60.1,57,62,intervals,119,155,161,16.8,174,4.5,51.1,12,0.963,7.08,9.23,0.388,18331.8,3.5,1774.8
A0075,37,F,69.9,52.9,52,63,intervals,65,172,177,11.8,115,8.6,58.3,25,0.972,5.51,14.58,0.308,10623.9,-0.6,1156.0
A0076,29,F,74.4,43.1,53,76,intervals,87,142,148,13.0,35,5.3,77.8,23,0.959,6.69,10.92,0.304,11900.2,2.7,1148.5
A0077,35,M,64.1,42.4,52,85,intervals,35,145,161,5.1,74,8.3,71.5,14,0.901,6.86,28.43,0.292,5200.0,-0.3,474.9
A0078,42,M,55.6,46.4,52,97,intervals,97,141,157,14.7,244,7.6,102.5,22,0.898,6.6,9.59,0.329,14266.5,0.4,1279.9
A0079,37,F,67.0,59.0,47,63,long_run,105,148,162,11.3,16,7.1,70.3,32,0.914,9.29,13.1,0.399,15890.8,0.9,1505.4
A0080,34,F,67.4,60.2,50,79,tempo,68,164,176,12.0,106,5.3,70.3,28,0.932,5.67,13.67,0.367,11189.2,2.7,1117.0
A0081,33,M,56.2,49.1,48,76,long_run,66,173,186,11.2,108,6.9,79.5,13,0.93,5.89,15.45,0.284,11586.0,1.1,1080.9
A0082,20,M,57.8,58.6,46,91,long_run,74,138,156,12.7,0,6.0,69.3,10,0.885,5.83,10.87,0.425,10502.9,2.0,814.8
A0083,23,F,78.7,53.1,54,94,long_run,36,171,188,7.2,42,5.0,100.8,17,0.91,5.0,23.75,0.311,5899.4,3.0,615.7
A0084,24,M,81.8,38.6,48,95,intervals,108,161,178,18.9,245,6.7,100.3,27,0.904,5.71,8.52,0.24,17518.2,1.3,1726.6
A0085,20,F,55.4,44.7,45,64,intervals,51,165,183,5.9,85,8.0,56.6,19,0.902,8.64,27.97,0.271,8591.9,0.0,750.7
A0086,20,M,84.7,47.9,63,87,intervals,100,138,148,15.3,139,8.3,98.1,30,0.932,6.54,9.02,0.347,13218.4,-0.3,1270.5
A0087,32,M,60.4,60.9,45,65,intervals,119,168,181,19.6,36,8.6,50.6,27,0.928,6.07,8.57,0.362,20416.2,-0.6,1988.3
A0088,41,F,64.2,51.4,55,92,tempo,117,131,149,16.6,33,6.1,103.2,17,0.879,7.05,7.89,0.392,15655.2,1.9,1340.9
A0089,39,M,61.4,46.0,56,73,long_run,85,147,162,14.6,79,7.7,73.4,18,0.907,5.82,10.07,0.313,11922.2,0.3,1116.7
A0090,34,F,60.2,53.1,50,62,intervals,86,145,163,8.9,55,8.6,46.1,28,0.89,9.66,16.29,0.366,12434.5,-0.6,1095.1
A0091,33,F,88.2,47.9,59,91,long_run,106,150,155,17.0,252,6.9,67.5,11,0.968,6.24,8.82,0.319,16694.2,1.1,1668.7
A0092,23,F,74.9,64.5,62,82,intervals,89,152,171,15.9,44,8.2,82.4,21,0.889,5.6,9.56,0.424,12924.5,-0.2,1220.7
A0093,39,M,65.1,44.8,48,93,tempo,57,179,185,8.9,93,6.9,79.9,19,0.968,6.4,20.11,0.25,9862.4,1.1,1055.2
A0094,29,M,83.1,59.4,63,77,tempo,78,156,166,14.5,279,6.1,79.5,27,0.94,5.38,10.76,0.381,11693.0,1.9,1255.3
A0095,24,F,57.3,64.4,46,74,long_run,66,136,144,9.7,161,6.3,72.3,28,0.944,6.8,14.02,0.474,8844.9,1.7,748.1
A0096,41,M,88.4,54.4,47,91,intervals,76,175,194,7.9,173,6.5,77.0,19,0.902,9.62,22.15,0.311,13280.1,1.5,1534.0
A0097,36,M,60.2,57.1,49,99,intervals,68,161,169,8.0,13,6.6,107.9,18,0.953,8.5,20.12,0.355,11429.0,1.4,1053.9
A0098,23,F,81.7,57.0,61,67,tempo,75,163,178,12.2,119,7.0,59.8,23,0.916,6.15,13.36,0.35,11931.9,1.0,1190.3
A0099,27,M,86.8,38.2,46,75,intervals,42,152,168,6.9,240,8.5,82.7,10,0.905,6.09,22.03,0.251,6677.3,-0.5,618.8
A0100,24,M,81.9,61.4,50,76,intervals,94,132,150,14.6,42,5.0,65.8,16,0.88,6.44,9.04,0.465,12727.1,3.0,1161.4
A0101,35,M,71.1,62.4,49,79,tempo,53,165,171,7.1,125,6.9,66.6,34,0.965,7.46,23.24,0.378,8944.2,1.1,855.5
A0102,37,F,79.6,50.2,60,81,long_run,113,142,150,17.0,146,8.1,79.9,23,0.947,6.65,8.35,0.354,15784.5,-0.1,1502.6
A0103,26,F,77.2,53.6,59,92,intervals,31,171,184,4.2,23,8.0,81.6,15,0.929,7.38,40.71,0.313,5415.6,0.0,539.1
A0104,38,F,62.9,44.0,64,91,tempo,102,156,174,20.0,190,5.7,76.1,13,0.897,5.1,7.8,0.282,15383.9,2.3,1620.9
A0105,21,F,89.3,47.1,64,81,long_run,81,152,165,13.6,289,6.6,77.0,32,0.921,5.96,11.18,0.31,11726.2,1.4,1230.7
A0106,21,M,78.4,58.2,52,87,long_run,56,131,136,9.4,238,5.2,93.7,33,0.963,5.96,13.94,0.444,7409.9,2.8,645.6
A0107,26,F,63.1,54.8,48,95,intervals,33,159,171,5.4,158,4.6,86.6,32,0.93,6.11,29.44,0.345,5440.0,3.4,490.5
A0108,39,F,86.3,62.0,64,63,long_run,50,147,158,6.2,293,5.7,54.5,12,0.93,8.06,23.71,0.422,7645.0,2.3,773.9
A0109,39,M,76.6,50.8,60,81,tempo,78,144,149,11.3,7,6.6,57.5,18,0.966,6.9,12.74,0.353,11246.8,1.4,1068.8
A0110,34,M,57.3,58.6,55,99,tempo,67,169,175,11.3,38,6.2,86.0,17,0.966,5.93,14.96,0.347,11134.0,1.8,1077.9
A0111,34,F,55.5,49.4,57,77,long_run,50,177,182,5.1,7,8.7,78.8,30,0.973,9.8,34.71,0.279,8998.0,-0.7,867.2
A0112,37,M,75.9,43.7,63,64,long_run,70,137,152,11.5,238,7.3,72.9,15,0.901,6.09,11.91,0.319,9763.5,0.7,937.4
A0113,32,F,82.4,54.8,49,79,intervals,62,158,164,8.0,105,5.6,86.4,17,0.963,7.75,19.75,0.347,9324.3,2.4,1003.6
A0114,28,M,82.7,43.2,56,79,intervals,81,150,159,12.9,174,6.5,89.7,21,0.943,6.28,11.63,0.288,12481.8,1.5,1173.1
A0115,20,M,64.6,52.7,56,95,long_run,48,135,148,9.4,201,4.9,102.4,11,0.912,5.11,14.36,0.39,6609.0,3.1,525.3
A0116,40,F,69.1,63.3,46,89,long_run,51,175,190,6.2,80,7.6,89.1,10,0.921,8.23,28.23,0.362,9305.4,0.4,901.3
A0117,31,M,87.2,39.5,56,89,tempo,71,148,157,12.2,154,7.1,64.2,30,0.943,5.82,12.13,0.267,10361.4,0.9,1042.5
A0118,34,M,87.4,60.4,57,92,tempo,118,137,146,13.7,243,7.5,66.9,15,0.938,8.61,10.0,0.441,16785.4,0.5,1579.3
A0119,41,F,83.7,59.1,61,87,intervals,51,167,178,8.9,138,5.1,100.0,11,0.938,5.73,18.76,0.354,8698.8,2.9,870.8
A0120,38,F,55.2,55.4,56,71,long_run,111,138,143,21.7,48,7.7,66.7,11,0.965,5.12,6.36,0.401,15401.8,0.3,1286.2
A0121,20,M,69.8,59.6,58,73,tempo,109,178,188,13.1,89,8.2,61.0,29,0.947,8.32,13.59,0.335,20124.7,-0.2,1998.3
A0122,32,F,66.7,39.0,56,84,tempo,79,143,153,14.1,157,5.1,80.2,34,0.935,5.6,10.14,0.273,11528.4,2.9,1077.3
A0123,21,F,72.1,63.0,58,90,long_run,95,177,185,11.4,167,6.5,65.9,15,0.957,8.33,15.53,0.356,17071.9,1.5,1752.1
A0124,25,F,81.0,54.2,63,98,tempo,64,169,174,6.4,37,8.2,84.8,15,0.971,10.0,26.41,0.321,11149.2,-0.2,1069.9
A0125,20,F,72.6,50.5,47,94,tempo,43,131,148,5.3,114,8.0,95.7,25,0.885,8.11,24.72,0.385,5596.1,0.0,465.7
A0126,34,M,83.9,41.9,56,91,tempo,34,168,181,6.2,148,7.9,84.4,33,0.928,5.48,27.1,0.249,5668.2,0.1,612.5
A0127,43,M,88.9,54.4,63,93,intervals,104,160,166,13.2,85,7.2,71.5,24,0.964,7.88,12.12,0.34,16744.7,0.8,1875.3
A0128,20,F,65.3,43.2,57,61,tempo,57,155,166,8.1,90,5.3,55.0,13,0.934,7.04,19.14,0.279,9052.1,2.7,789.5
A0129,25,M,66.3,60.6,62,63,tempo,34,133,141,6.4,152,6.6,69.8,23,0.943,5.31,20.78,0.456,4627.6,1.4,378.0
A0130,30,F,67.1,56.7,50,91,intervals,35,163,175,4.4,282,6.3,91.4,18,0.931,7.95,37.05,0.348,5447.3,1.7,533.5
A0131,31,M,64.9,61.8,54,89,long_run,103,163,181,12.9,101,5.3,79.3,14,0.901,7.98,12.64,0.379,16831.4,2.7,1724.8
A0132,26,F,60.7,48.0,59,99,tempo,62,161,172,6.5,49,8.3,105.2,28,0.936,9.54,24.77,0.298,9690.9,-0.3,941.6
A0133,36,F,56.8,51.2,64,78,tempo,80,136,153,11.3,68,7.2,58.2,17,0.889,7.08,12.04,0.376,11355.6,0.8,953.9
A0134,37,F,55.9,59.5,60,96,long_run,32,156,175,4.8,97,6.6,93.2,26,0.891,6.67,32.5,0.381,4849.8,1.4,452.9
A0135,28,M,57.2,58.7,53,75,intervals,92,154,168,10.7,72,7.4,69.2,33,0.917,8.6,14.39,0.381,14249.9,0.6,1346.0
A0136,32,F,87.9,54.2,50,63,intervals,104,150,168,18.3,189,8.5,45.0,30,0.893,5.68,8.2,0.361,15715.4,-0.5,1633.3
A0137,37,F,65.6,59.5,61,77,long_run,86,166,182,9.5,202,8.0,85.3,12,0.912,9.05,17.47,0.358,14502.7,0.0,1459.4
A0138,28,F,62.4,48.3,58,78,tempo,91,152,167,15.0,26,8.4,65.5,27,0.91,6.07,10.13,0.318,13303.4,-0.4,1338.7
A0139,25,F,56.6,57.0,53,74,tempo,106,151,157,14.2,250,5.4,59.3,33,0.962,7.46,10.63,0.377,16647.8,2.6,1498.6
A0140,33,F,59.5,60.2,45,66,long_run,37,138,144,5.7,44,5.9,48.4,15,0.958,6.49,24.21,0.436,4965.6,2.1,463.0
A0141,25,F,76.9,49.0,53,65,tempo,42,151,167,5.0,257,6.6,51.2,27,0.904,8.4,30.2,0.325,6626.7,1.4,597.3
A0142,37,M,87.3,49.3,58,73,long_run,77,158,177,13.5,100,6.3,67.9,33,0.893,5.7,11.7,0.312,11815.8,1.7,1329.8
A0143,37,M,72.4,38.2,52,83,tempo,109,149,168,15.2,272,6.9,65.9,27,0.887,7.17,9.8,0.256,16369.5,1.1,1601.5
A0144,34,M,65.7,56.4,64,87,intervals,83,156,175,14.5,46,7.1,95.9,17,0.891,5.72,10.76,0.362,12632.4,0.9,1258.2
A0145,41,F,79.1,50.7,62,64,intervals,63,168,183,8.3,248,6.7,62.1,29,0.918,7.59,20.24,0.302,10627.3,1.3,1102.2
A0146,33,F,80.0,57.7,58,61,tempo,106,156,169,17.5,201,7.7,45.4,25,0.923,6.06,8.91,0.37,16133.2,0.3,1707.1
A0147,36,F,62.8,58.2,63,79,long_run,73,168,180,9.4,280,8.8,64.1,31,0.933,7.77,17.87,0.346,12784.8,-0.8,1183.7
A0148,21,F,62.9,60.9,54,61,long_run,95,156,174,17.2,244,4.8,43.6,32,0.897,5.52,9.07,0.39,15157.0,3.2,1346.1
A0149,23,F,56.7,45.1,60,64,tempo,48,168,186,7.4,229,7.9,72.8,23,0.903,6.49,22.7,0.268,7945.6,0.1,800.9
A0150,23,M,67.8,63.6,45,79,long_run,103,139,154,19.1,39,5.3,77.8,18,0.903,5.39,7.28,0.458,13637.0,2.7,1261.5
A0151,42,M,82.9,61.1,57,83,long_run,40,146,155,5.6,263,7.5,58.8,16,0.942,7.14,26.07,0.418,5650.0,0.5,593.3
A0152,41,F,76.2,53.1,60,60,intervals,46,159,173,5.4,237,6.0,61.2,17,0.919,8.52,29.44,0.334,7631.8,2.0,790.6
A0153,32,M,82.8,55.0,45,96,tempo,99,155,161,15.8,248,8.0,67.3,12,0.963,6.27,9.81,0.355,14906.0,0.0,1475.7
A0154,34,M,81.2,59.4,54,90,long_run,63,158,165,8.3,202,7.5,88.6,18,0.958,7.59,19.04,0.376,9465.1,0.5,1039.7
A0155,41,M,82.5,47.2,49,99,tempo,104,130,139,12.4,121,5.6,70.1,14,0.935,8.39,10.48,0.363,12975.1,2.4,1263.3
A0156,25,F,57.3,63.4,51,93,long_run,60,141,148,8.2,193,5.9,80.0,12,0.953,7.32,17.2,0.45,8741.9,2.1,736.1
A0157,30,F,86.1,56.9,52,79,long_run,33,147,154,6.5,121,7.6,73.3,13,0.955,5.08,22.62,0.387,4774.8,0.4,464.5
A0158,25,M,88.9,43.4,59,62,intervals,66,179,197,11.9,264,7.1,54.5,24,0.909,5.55,15.04,0.242,11784.8,0.9,1315.7
A0159,20,F,85.4,45.9,64,75,intervals,36,136,142,6.0,269,6.8,65.2,14,0.958,6.0,22.67,0.337,4702.3,1.2,442.7
A0160,30,M,79.8,41.6,59,78,long_run,93,151,157,13.6,203,7.5,69.8,34,0.962,6.84,11.1,0.275,13616.5,0.5,1339.3
A0161,33,F,67.9,39.8,60,76,long_run,36,141,147,6.9,82,6.9,56.6,13,0.959,5.22,20.43,0.282,4863.5,1.1,461.8
A0162,22,F,69.2,43.7,47,78,long_run,97,162,168,16.8,188,4.9,83.9,31,0.964,5.77,9.64,0.27,15685.0,3.1,1518.7
A0163,28,M,72.3,41.6,51,78,tempo,117,144,157,18.0,179,5.8,60.2,32,0.917,6.5,8.0,0.289,16704.0,2.2,1613.0
A0164,30,M,55.2,55.6,52,84,tempo,111,173,189,12.3,198,7.4,76.4,11,0.915,9.02,14.07,0.321,19385.3,0.6,1852.5
A0165,31,F,81.3,43.8,47,82,long_run,90,149,160,11.7,127,5.4,90.8,25,0.931,7.69,12.74,0.294,12774.1,2.6,1255.8
A0166,29,M,78.2,46.4,62,70,intervals,78,131,138,14.2,121,8.9,60.0,34,0.949,5.49,9.23,0.354,9898.3,-0.9,869.8
A0167,38,F,87.4,42.4,54,93,tempo,95,147,164,14.5,275,6.1,102.4,27,0.896,6.55,10.14,0.288,14072.4,1.9,1445.7
A0168,29,F,68.7,63.6,63,76,long_run,117,165,179,16.9,136,8.5,65.4,17,0.922,6.92,9.76,0.385,20089.0,-0.5,1845.0
A0169,44,M,78.7,55.8,52,68,intervals,44,165,178,8.2,223,7.9,63.4,16,0.927,5.37,20.12,0.338,7306.5,0.1,775.7
A0170,36,F,72.7,44.0,55,74,long_run,39,172,183,7.3,145,4.9,59.8,31,0.94,5.34,23.56,0.256,7016.7,3.1,683.1
A0171,29,M,87.3,56.1,54,72,long_run,76,152,158,8.0,131,6.7,65.3,11,0.962,9.5,19.0,0.369,11947.6,1.3,1158.6
A0172,20,F,79.7,51.2,45,98,tempo,112,174,188,19.4,219,7.2,79.8,29,0.926,5.77,8.97,0.294,18648.0,0.8,2089.3
A0173,29,F,64.1,41.3,53,93,long_run,68,170,183,7.1,159,4.6,70.7,10,0.929,9.58,23.94,0.243,11982.9,3.4,1107.5
A0174,29,F,76.0,63.3,49,93,long_run,53,146,165,6.6,229,8.2,66.5,27,0.885,8.03,22.12,0.434,7522.4,-0.2,703.7
A0175,42,F,62.9,52.9,48,78,intervals,95,155,161,12.4,289,5.7,59.2,21,0.963,7.66,12.5,0.341,14218.3,2.3,1437.2
A0176,43,M,68.3,49.9,52,62,long_run,48,157,168,7.9,203,6.6,49.3,24,0.935,6.08,19.87,0.318,7396.2,1.4,774.7
A0177,27,M,80.6,64.7,58,75,tempo,113,153,163,15.3,30,5.9,66.3,20,0.939,7.39,10.0,0.423,17344.9,2.1,1663.5
A0178,20,F,77.5,43.7,48,62,long_run,98,141,154,11.5,151,6.9,64.4,14,0.916,8.52,12.26,0.31,13285.8,1.1,1305.4
A0179,31,M,77.6,38.9,55,65,tempo,102,130,146,14.8,64,8.4,67.2,19,0.89,6.89,8.78,0.299,13497.2,-0.4,1192.3
A0180,39,M,65.8,62.3,54,82,tempo,99,152,168,12.0,127,4.6,82.2,11,0.905,8.25,12.67,0.41,14536.3,3.4,1390.1
